"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","ADOT"
"","33465","54428","195802","8261c380-132b-11ed-86b5-f9dfd114f830","Maurice Alexander","Bears","13","WR","59.3","0","1","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","34579","48489","187620","97f6c20c-1110-4551-82c1-41d3247397a2","David Sills V","Falcons","87","WR","52.8","27","349","154","38","18","191","10.6","2","9","3","0","0","21","5","2","59","3.3","12.0"
"","34807","45069","64679","8925f38d-5c75-42c7-aa52-e3bcca16a21c","Daniel Brunskill","Dolphins","64","G","49.2","1","10","4","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","34934","48233","180175","7ade135c-0760-4548-b7d9-cf1174e2be33","Alec Ingold","Dolphins","30","FB","46","22","126","12","11","8","52","6.5","0","4","1","0","0","9","1","0","45","5.6","3.7"
"","35639","53932","278404","e5870f5e-f9b2-48a3-97ec-8d12fbc91f3f","Adam Prentice","Broncos","46","FB","53.6","4","65","11","8","6","53","8.8","0","3","1","0","0","7","0","0","44","7.3","2.0"
"","35883","47879","267761","5fb525c5-4e70-4ede-8c49-94ad0cf66b7d","Dawson Knox","Bills","88","TE","68.4","55","375","121","57","43","480","11.2","4","26","4","0","0","49","11","5","208","4.8","7.5"
"","39395","47789","195393","0042266b-cb28-4012-bfd2-06650badad97","Daniel Jones","Colts","17","QB","58.9","0","1","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","39805","47821","195218","74a588d5-22b6-42da-8d59-c79d4f7634d2","Cody Ford","Bengals","61","T","78.5","1","1","0","1","1","21","21.0","0","1","0","0","0","1","0","0","17","17.0","4.0"
"","40006","52500","259697","d93dbc83-e604-4823-a24e-d162cbd8d4d9","Devin Duvernay","Bears","12","WR","69.4","4","26","11","6","3","30","10.0","0","1","0","0","0","3","3","2","0","0.0","14.2"
"","40399","54715","280563","387c8819-5892-4528-ac33-0ec72b24cc2f","Brittain Brown","Bears","38","HB","52.1","0","9","3","1","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","4.0"
"","40485","47857","194627","a961b0d4-5d7c-438e-90f0-2e1fa09f6c89","Devin Singletary","Giants","26","HB","58.7","16","126","5","21","20","159","8.0","0","4","1","0","0","21","1","1","169","8.4","-0.6"
"","40547","53548","196570","482c1032-765a-48d3-b46e-b47a809dbee4","Kene Nwangwu","Jets","34","HB","52.1","0","13","1","1","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","-6.0"
"","40555","47836","194779","ef3ceaf4-b733-4e06-a7f4-a94fc67361c1","Miles Sanders","Cowboys","24","HB","76.3","7","28","0","9","9","34","3.8","0","0","0","0","0","9","0","0","44","4.9","-1.1"
"","40573","54536","279815","318b263d-8910-4e46-afe3-5860092ab260","Velus Jones Jr.","Seahawks","32","HB","59.2","0","2","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","40630","53556","263283","bcc0167c-05fd-4b23-981e-60b8784ceb33","Kylen Granson","Eagles","83","TE","42.9","6","93","27","9","7","40","5.7","0","3","1","0","0","8","1","0","12","1.7","7.6"
